Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603",298.253316,-56.257362,270.000000,bottom
"C2","0.1uF","C_0603",298.848632,-18.752454,90.000000,bottom
"C3","0.1uF","C_0603",298.848632,-22.026692,270.000000,bottom
"C4","0.1uF","C_0603",309.564320,-59.531600,180.000000,bottom
"C5","0.1uF","C_0603",296.765026,-65.484760,0.000000,bottom
"C6","1uF","C_0603",302.718186,-55.364388,90.000000,bottom
"C7","0.1uF","C_0603",305.992424,-67.866024,180.000000,bottom
"C8","0.1uF","C_0603",311.945584,-36.314276,90.000000,bottom
"D1","D","D_SOD-123",40.520000,-10.505000,90.000000,bottom
"D2","D","D_SOD-123",26.789220,-29.468142,90.000000,bottom
"D3","D","D_SOD-123",33.934244,-48.518254,90.000000,bottom
"D4","D","D_SOD-123",45.272500,-67.535000,90.000000,bottom
"D5","D","D_SOD-123",37.520000,-10.505000,90.000000,bottom
"D6","D","D_SOD-123",48.220596,-29.468142,90.000000,bottom
"D7","D","D_SOD-123",52.984244,-48.518254,90.000000,bottom
"D8","D","D_SOD-123",42.272500,-67.535000,90.000000,bottom
"D9","D","D_SOD-123",58.030000,-10.505000,90.000000,bottom
"D10","D","D_SOD-123",66.080076,-29.468142,90.000000,bottom
"D11","D","D_SOD-123",72.034244,-48.518254,90.000000,bottom
"D12","D","D_SOD-123",62.782500,-67.535000,90.000000,bottom
"D13","D","D_SOD-123",77.040000,-10.505000,90.000000,bottom
"D14","D","D_SOD-123",69.056656,-29.468142,90.000000,bottom
"D15","D","D_SOD-123",89.584244,-48.518254,90.000000,bottom
"D16","D","D_SOD-123",102.302500,-67.535000,90.000000,bottom
"D17","D","D_SOD-123",96.050000,-10.505000,90.000000,bottom
"D18","D","D_SOD-123",105.370932,-29.765800,90.000000,bottom
"D19","D","D_SOD-123",92.584244,-48.518254,90.000000,bottom
"D20","D","D_SOD-123",99.302500,-67.535000,90.000000,bottom
"D21","D","D_SOD-123",115.060000,-10.505000,90.000000,bottom
"D22","D","D_SOD-123",124.420932,-29.765800,90.000000,bottom
"D23","D","D_SOD-123",127.684244,-48.518254,90.000000,bottom
"D24","D","D_SOD-123",119.812500,-67.535000,90.000000,bottom
"D25","D","D_SOD-123",134.070000,-10.505000,90.000000,bottom
"D26","D","D_SOD-123",143.470932,-29.765800,90.000000,bottom
"D27","D","D_SOD-123",130.684244,-48.518254,90.000000,bottom
"D28","D","D_SOD-123",138.822500,-67.535000,90.000000,bottom
