Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603",276.352000,-101.600000,0.000000,bottom
"C2","22pF","C_0603",287.020000,-90.043000,90.000000,bottom
"C3","22pF","C_0603",284.099000,-87.376000,0.000000,bottom
"C4","0.1uF","C_0603",290.227000,-96.266000,180.000000,bottom
"C5","0.1uF","C_0603",290.227000,-102.997000,180.000000,bottom
"C6","1uF","C_0603",274.955000,-95.250000,180.000000,bottom
"C7","0.1uF","C_0603",278.638000,-88.773000,270.000000,bottom
"D1","D","D_SOD-123",241.697890,-103.584810,90.000000,bottom
"D13","D","D_SOD-123",257.302000,-106.934000,270.000000,bottom
"D14","D","D_SOD-123",255.168400,-123.494800,180.000000,bottom
"D18","D","D_SOD-123",276.352000,-106.934000,270.000000,bottom
"D19","D","D_SOD-123",274.218400,-123.494800,180.000000,bottom
"D22","D","D_SOD-123",293.490295,-114.895795,90.000000,bottom
"D23","D","D_SOD-123",289.918400,-123.494800,0.000000,bottom
"R1","5.1k","R_0805",271.462500,-102.393750,180.000000,bottom
"R2","5.1k","R_0805",271.462500,-95.250000,180.000000,bottom
"R3","22","R_0805",271.462500,-97.631250,180.000000,bottom
"R4","22","R_0805",271.462500,-100.012500,180.000000,bottom
"R5","10k","R_0805",278.638000,-92.075000,270.000000,bottom
"R6","1k","R_0805",290.100000,-100.838000,180.000000,bottom
"R7","R","R_0805",240.728500,-120.142000,180.000000,bottom
"SK6812MiniE1","WS2812B","RGB-6028_FLIPPED",247.650000,-114.300000,180.000000,bottom
"SK6812MiniE2","WS2812B","RGB-6028_FLIPPED",266.700000,-114.300000,180.000000,bottom
"SK6812MiniE3","WS2812B","RGB-6028_FLIPPED",285.750000,-114.300000,180.000000,bottom
"SK6812MiniE4","WS2812B","RGB-6028",285.750000,-133.350000,180.000000,bottom
"SK6812MiniE5","WS2812B","RGB-6028",266.700000,-133.350000,180.000000,bottom
"SK6812MiniE6","WS2812B","RGB-6028",247.650000,-133.350000,180.000000,bottom
"U1","PRTR5V0U2X","SOT143B",266.700000,-95.250000,180.000000,bottom
"U2","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias",283.464000,-98.298000,0.000000,bottom
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",284.099000,-90.043000,180.000000,bottom

