"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_Center";1;"Rotary_Encoder_Switch";;;
2;"MX1,MX25,MX24,MX21,MX20,MX16,MX15";"MXOnly-1U-Hotswap";7;"MX-NoLED";;;
3;"D1,D23,D22,D19,D18,D14,D13";"D_SOD-123";7;"D";;;
4;"U3";"0.91_SSD1306_OLED";1;"STF202-22T1G";;;
5;"U4,U5";"Reset_Pretty";2;"STF202-22T1G";;;
6;"LOGO5,LOGO4,LOGO3,LOGO2";"MountingHole_2.2mm_M2_DIN965_Pad";4;"Logo_Open_Hardware_Large";;;
7;"R7";"R_0805";1;"R";;;
8;"SK6812MiniE6,SK6812MiniE5,SK6812MiniE4";"RGB-6028";3;"WS2812B";;;
9;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16Mhz";;;
10;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
11;"U2";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias";1;"ATmega32U4-MU";;;
12;"U1";"SOT143B";1;"PRTR5V0U2X";;;
13;"SK6812MiniE3,SK6812MiniE2,SK6812MiniE1";"RGB-6028_FLIPPED";3;"WS2812B";;;
14;"R6";"R_0805";1;"1k";;;
15;"R5";"R_0805";1;"10k";;;
16;"R4,R3";"R_0805";2;"22";;;
17;"R2,R1";"R_0805";2;"5.1k";;;
18;"C7,C5,C4";"C_0603";3;"0.1uF";;;
19;"C6";"C_0603";1;"1uF";;;
20;"C3,C2";"C_0603";2;"22pF";;;
21;"C1";"C_0603";1;"10uF";;;
